ФИО,Страна,Паспортые данные,СНИЛС,Номер карты,Банк,Платежная система,Симптомы,Врач,Дата посещения врача,Анализы,Дата получения анализов,Цена приёма (руб)
Абрамов Альберт Артурович,,3321 103710,670-254-351 80,4507 8456 8664 4845,Сбербанк,,"Отечность суставов, Онемение, Боль в суставах",,2024-03-19T09:56:51+03:00,"Общий анализ крови, Анализ на ревматоидный фактор",,11777.0
Абрамов Арсений Егорович,Беларусь,JY 8514618,507-481-350 96,2336 9657 1790 6359,Сбербанк,Мир,"Боль в области трансплантата, Отторжение органа, Лихорадка",,2023-06-14T11:21:29+03:00,Общий анализ крови,2023-06-15T20:59:02+03:00,3819.0
Абрамов Арсений Егорович,Беларусь,JY 8514618,507-481-350 96,2336 9657 1790 6359,Сбербанк,Мир,"Боль в области трансплантата, Отторжение органа, Лихорадка",,2024-02-18T14:12:13+03:00,"Общий анализ крови, Биохимический анализ крови",2023-06-15T20:59:02+03:00,10563.0
Абрамов Арсений Егорович,Беларусь,JY 8514618,507-481-350 96,2336 9657 1790 6359,Сбербанк,Мир,"Боль в области трансплантата, Отторжение органа, Лихорадка",,2024-03-13T15:07:09+03:00,"Общий анализ крови, Биохимический анализ крови",2024-03-15T19:56:40+03:00,2657.0
Абрамов Арсений Егорович,Беларусь,JY 8514618,507-481-350 96,2336 9657 1790 6359,Сбербанк,Мир,"Отек, Переломы, Боль в суставах",,2024-09-12T19:57:57+03:00,"Общий анализ крови, Биохимический анализ крови",2024-09-15T12:11:15+03:00,2836.0
Абрамов Вадим Валентинович,Беларусь,MF 0756167,959-672-176 47,,ВТБ,Visa,"Боль при мочеиспускании, Выделения",Венеролог,2023-07-24T10:17:47+03:00,"Гормональные исследования, УЗИ плода",2023-07-26T10:41:11+03:00,
Абрамов Вадим Валентинович,Беларусь,MF 0756167,959-672-176 47,,ВТБ,Visa,"Боль внизу живота, Нарушение цикла",Акушер-гинеколог,2024-04-29T14:57:49+03:00,"Гормональные исследования, УЗИ плода",2024-04-30T16:05:40+03:00,
Абрамов Василий Прохорович,Казахстан,N 3640318,579-836-165 22,1765 7618 7591 1188,Тинькофф,Visa,Непереносимость продуктов,,2023-06-09T20:22:37+03:00,Биохимический анализ крови,2023-06-12T14:18:57+03:00,7847.0
Абрамов Василий Прохорович,Казахстан,N 3640318,579-836-165 22,1765 7618 7591 1188,Тинькофф,Visa,"Боль в суставах, Онемение, Травмы костей",,2024-12-11T15:34:44+03:00,Биохимический анализ крови,2024-12-14T10:58:51+03:00,11215.0
Абрамов Василий Тимурович,,4232 211059,399-283-634 34,3394 9890 9232 8689,Сбербанк,MasterCard,,,2024-12-18T15:05:13+03:00,УЗИ почек,2024-12-21T12:01:40+03:00,8288.0
Абрамов Константин Юрьевич,Казахстан,N 4143046,382-417-584 97,5290 4608 5192 9076,Сбербанк,Мир,"Температура, Отказ от еды",,2024-02-09T08:17:03+03:00,Токсикологическое исследование,2023-09-04T16:54:50+03:00,9472.0
Абрамов Константин Юрьевич,Казахстан,N 4143046,382-417-584 97,5290 4608 5192 9076,Сбербанк,Мир,"Температура, Отказ от еды",,2024-09-25T17:57:35+03:00,Неонатальный скрининг,2023-09-04T16:54:50+03:00,9472.0
Абрамов Константин Юрьевич,Казахстан,N 4143046,382-417-584 97,5290 4608 5192 9076,Сбербанк,Мир,"Температура, Отказ от еды",,2024-09-25T17:57:35+03:00,"Тимпанометрия, МРТ головного мозга",2023-09-04T16:54:50+03:00,7043.0
Абрамов Константин Юрьевич,Казахстан,N 4143046,382-417-584 97,5290 4608 5192 9076,Сбербанк,Мир,"Температура, Отказ от еды",,2024-09-25T17:57:35+03:00,"Тимпанометрия, МРТ головного мозга",2025-04-12T10:46:21+03:00,2874.0
Абрамов Леон Владимирович,,,,8907 5484 2055 1646,Сбербанк,Visa,"Выделения, Сыпь, Покраснение кожи",Дерматовенеролог,2023-05-27T15:48:11+03:00,"Общий анализ крови, ПЦР на ИППП",2023-05-30T10:23:05+03:00,9527.0
Абрамов Марат Александрович,Россия,9515 567861,720-774-688 52,2249 7449 3277 3828,Альфа-Банк,Мир,Выделения из сосков,Стоматолог,2023-10-14T13:55:29+03:00,Маммография,2024-01-19T08:17:22+03:00,11284.0
Абрамов Марат Александрович,Россия,9515 567861,720-774-688 52,2249 7449 3277 3828,Альфа-Банк,Мир,Выделения из сосков,Стоматолог,2024-01-16T18:07:01+03:00,Аллергопробы,2024-01-19T08:17:22+03:00,11284.0
Абрамов Марат Александрович,Россия,9515 567861,720-774-688 52,2249 7449 3277 3828,Альфа-Банк,Мир,"Потеря слуха, Шум в ушах",Сурдолог,2024-01-16T18:07:01+03:00,"Рентген височной кости, МРТ головного мозга",2023-11-14T09:30:05+03:00,11284.0
Абрамов Марат Александрович,Россия,9515 567861,720-774-688 52,2249 7449 3277 3828,Альфа-Банк,Мир,"Утомляемость, Депрессия",Психиатр,2024-01-16T18:07:01+03:00,"Рентген височной кости, МРТ головного мозга",2023-11-14T09:30:05+03:00,11284.0
Абрамов Мирон Саввич,,N 3448115,191-132-472 70,4289 4381 8371 3148,Тинькофф,MasterCard,требующая обезболивания,Дерматовенеролог,2023-09-23T16:01:03+03:00,"ПЦР на ИППП, Соскоб кожи",2023-09-25T15:22:30+03:00,8053.0
Абрамов Мирон Саввич,,N 3448115,191-132-472 70,4289 4381 8371 3148,Тинькофф,MasterCard,"Покраснение кожи, Сыпь",Дерматовенеролог,2023-09-23T16:01:03+03:00,"ПЦР на ИППП, Соскоб кожи",2023-12-15T12:10:38+03:00,9931.0
Абрамов Мирон Саввич,,N 3448115,191-132-472 70,4289 4381 8371 3148,Тинькофф,MasterCard,Затрудненное дыхание,Пульмонолог,2023-09-23T16:01:03+03:00,"ПЦР на ИППП, Соскоб кожи",2024-05-15T12:40:19+03:00,4014.0
Абрамов Назар Миронович,Казахстан,N 0127116,415-463-753 48,,,Visa,Отеки,Кардиолог,2023-12-23T16:17:49+03:00,"ЭКГ, Эхокардиография, Холтеровское мониторирование",,
